# ACTS Test Suite Generation: Fri Nov 05 14:56:14 EDT 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 4
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 64
log_prob,prob_merge,nettoyage,vocab
true,true,0,1
true,false,0,1
false,true,0,1
false,false,0,1
true,true,0,2
true,false,0,2
false,true,0,2
false,false,0,2
true,true,0,3
true,false,0,3
false,true,0,3
false,false,0,3
true,true,0,4
true,false,0,4
false,true,0,4
false,false,0,4
true,true,1,1
true,false,1,1
false,true,1,1
false,false,1,1
true,true,1,2
true,false,1,2
false,true,1,2
false,false,1,2
true,true,1,3
true,false,1,3
false,true,1,3
false,false,1,3
true,true,1,4
true,false,1,4
false,true,1,4
false,false,1,4
true,true,2,1
true,false,2,1
false,true,2,1
false,false,2,1
true,true,2,2
true,false,2,2
false,true,2,2
false,false,2,2
true,true,2,3
true,false,2,3
false,true,2,3
false,false,2,3
true,true,2,4
true,false,2,4
false,true,2,4
false,false,2,4
true,true,3,1
true,false,3,1
false,true,3,1
false,false,3,1
true,true,3,2
true,false,3,2
false,true,3,2
false,false,3,2
true,true,3,3
true,false,3,3
false,true,3,3
false,false,3,3
true,true,3,4
true,false,3,4
false,true,3,4
false,false,3,4
