,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,179.8,5594.050708033095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,712.25,712.25,712.25,712.25,712.25,1000.0,116.41485,13.65,63099.8,102.8,183.6,1000.0
Confidence Interval Low,173.11783211423696,5392.9568721600035,,,,,,,,,,,669.3071865243614,669.3071865243614,669.3071865243614,669.3071865243614,669.3071865243614,,112.02086303416695,11.645458901930958,61626.88881354379,94.97068224655665,172.55352409811027,
Confidence Interval High,186.48216788576306,5795.144543906187,,,,,,,,,,,755.1928134756386,755.1928134756386,755.1928134756386,755.1928134756386,755.1928134756386,,120.80883696583305,15.654541098069043,64572.71118645622,110.62931775344335,194.64647590188972,
