,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,360.8,2779.0375777480667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.85,464.3814011203407,98.05,40012.8,1008.15,2080.15,500.85,1.0,986.25,986.25,986.25,986.25,986.25,499.15,121.30105532083473,19.8,28816.5,125.15,268.45,499.15
Confidence Interval Low,351.8185891175187,2710.1271059768765,,,,,,,,,,493.3061300777108,433.8372591545235,93.62699994930742,24683.74740802771,970.4112782130462,1901.4905216579768,493.3061300777108,,884.6454361740681,884.6454361740681,884.6454361740681,884.6454361740681,884.6454361740681,491.60613007771076,91.1092020746938,18.4797434923465,13950.777197167034,112.77935554285443,242.57253630640923,491.60613007771076
Confidence Interval High,369.78141088248134,2847.948049519257,,,,,,,,,,508.39386992228924,494.92554308615786,102.47300005069258,55341.852591972296,1045.8887217869537,2258.8094783420233,508.39386992228924,,1087.8545638259318,1087.8545638259318,1087.8545638259318,1087.8545638259318,1087.8545638259318,506.6938699222892,151.49290856697567,21.1202565076535,43682.22280283297,137.52064445714558,294.32746369359074,506.6938699222892
