,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,259.5,3865.3258276446577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.65,359.65,359.65,359.65,359.65,1000.0,222.76794999999998,152.25,4647.4,295.1,391.15,1000.0
Confidence Interval Low,252.41765688651017,3765.7769947825727,,,,,,,,,,,348.0458303978853,348.0458303978853,348.0458303978853,348.0458303978853,348.0458303978853,,216.43618105275826,146.95094073316665,4427.565109170823,284.14206456184337,373.347133587248,
Confidence Interval High,266.58234311348986,3964.8746605067427,,,,,,,,,,,371.25416960211464,371.25416960211464,371.25416960211464,371.25416960211464,371.25416960211464,,229.0997189472417,157.54905926683335,4867.234890829176,306.0579354381567,408.952866412752,
