,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,285.55,3507.0111964817834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,362.1,362.1,362.1,362.1,362.1,1000.0,247.28724999999994,168.9,4950.5,317.75,403.7,1000.0
Confidence Interval Low,280.37955272752407,3443.326902318151,,,,,,,,,,,348.51960028609517,348.51960028609517,348.51960028609517,348.51960028609517,348.51960028609517,,242.80876153286079,164.4654814463007,4594.328672207914,309.8820887108663,392.97579777465467,
Confidence Interval High,290.72044727247595,3570.6954906454157,,,,,,,,,,,375.6803997139049,375.6803997139049,375.6803997139049,375.6803997139049,375.6803997139049,,251.7657384671391,173.3345185536993,5306.671327792086,325.6179112891337,414.4242022253453,
