,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,162.15,6176.626295877419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.75,106.20205907626584,62.95,4746.0,133.25,178.75,498.75,1.0,356.15,356.15,356.15,356.15,356.15,501.25,140.39098522317684,94.5,2121.85,175.65,211.45,501.25
Confidence Interval Low,159.13493250058622,6058.693378808835,,,,,,,,,,494.043144495515,103.57823050312761,60.97909744904902,4084.480202527918,128.4557820737986,168.3092808899527,494.043144495515,,345.63841310197006,345.63841310197006,345.63841310197006,345.63841310197006,345.63841310197006,496.543144495515,136.9485283405115,91.56544183359219,1394.5099905336965,170.50682639277545,203.18953002620532,496.543144495515
Confidence Interval High,165.1650674994138,6294.559212946002,,,,,,,,,,503.456855504485,108.82588764940407,64.92090255095098,5407.519797472082,138.0442179262014,189.1907191100473,503.456855504485,,366.6615868980299,366.6615868980299,366.6615868980299,366.6615868980299,366.6615868980299,505.956855504485,143.83344210584218,97.43455816640781,2849.1900094663033,180.79317360722456,219.71046997379466,505.956855504485
