,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,179.75,5580.066238940292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,804.1,804.05,804.1,804.1,804.1,1000.0,116.77789999999997,12.9,64695.0,99.35,178.3,1000.0
Confidence Interval Low,174.93418909010504,5435.333144431256,,,,,,,,,,,537.2488766780966,537.3023387675294,537.2488766780966,537.2488766780966,537.2488766780966,,112.86435516200699,11.428601817622118,62831.4660440368,91.89838415075386,160.99305625690735,
Confidence Interval High,184.56581090989496,5724.7993334493285,,,,,,,,,,,1070.9511233219034,1070.7976612324705,1070.9511233219034,1070.9511233219034,1070.9511233219034,,120.69144483799296,14.371398182377883,66558.5339559632,106.80161584924613,195.60694374309267,
