,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,361.7,2771.0914312782784,1.3,4.3,1.1855048717613825,0.0,0.0,0.0,1.3,4.3,1.1855048717613825,902.0,312.9280141458144,68.0,67875.0,707.9,1654.3,902.0,1.0,868.0,868.0,868.0,868.0,868.0,98.0,132.3846831615919,25.0,7360.0,139.0,523.9,98.0
Confidence Interval Low,348.53082531322525,2671.3955880461885,0.9544497855950957,3.343214781062588,0.9278034775077119,,,,0.9544497855950957,3.343214781062588,0.9278034775077119,894.3620783370134,287.24200222419444,64.83657273568768,51075.93747374501,654.7615585520336,1445.748397980447,894.3620783370134,,751.5624932606622,751.5624932606622,751.5624932606622,751.5624932606622,751.5624932606622,90.36207833701339,-8.005394388284572,21.98379044967868,-7237.688435226935,105.620084357487,12.095758725145458,90.36207833701339
Confidence Interval High,374.8691746867747,2870.787274510368,1.6455502144049043,5.256785218937411,1.443206266015053,,,,1.6455502144049043,5.256785218937411,1.443206266015053,909.6379216629866,338.6140260674344,71.16342726431232,84674.06252625499,761.0384414479663,1862.851602019553,909.6379216629866,,984.4375067393378,984.4375067393378,984.4375067393378,984.4375067393378,984.4375067393378,105.63792166298661,272.7747607114684,28.01620955032132,21957.688435226934,172.379915642513,1035.7042412748544,105.63792166298661
