,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,188.05,5342.844602678137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,688.6,688.6,688.6,688.6,688.6,1000.0,124.02340000000001,10.95,70426.2,99.8,195.95,1000.0
Confidence Interval Low,181.72250680634545,5170.364771257391,,,,,,,,,,,660.1194871353741,660.1194871353741,660.1194871353741,660.1194871353741,660.1194871353741,,118.13929702561202,9.390547373698949,68448.64278296077,92.1629902442734,177.2908127313124,
Confidence Interval High,194.37749319365457,5515.324434098882,,,,,,,,,,,717.0805128646259,717.0805128646259,717.0805128646259,717.0805128646259,717.0805128646259,,129.907502974388,12.50945262630105,72403.75721703922,107.43700975572659,214.60918726868758,
