,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,320.95,3126.0586564310597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.85,1581.1721188614465,146.55,24705.2,4340.0,6601.0,101.85,1.0,984.35,984.3,984.35,984.35,984.35,898.15,104.18956634977705,8.45,45881.65,106.1,247.3,898.15
Confidence Interval Low,312.1162912911739,3039.34725033458,,,,,,,,,,97.78899109231106,1435.7399411538322,137.98665557288132,11968.169104904679,3959.468401199872,5835.511780273013,97.78899109231106,,809.5606077637947,809.5826573549186,809.5606077637947,809.5606077637947,809.5606077637947,894.0889910923111,88.11682003291988,7.448808360333819,31695.79755707777,100.17633516853155,218.9937917695573,894.0889910923111
Confidence Interval High,329.78370870882605,3212.7700625275393,,,,,,,,,,105.91100890768892,1726.6042965690608,155.1133444271187,37442.23089509532,4720.5315988001275,7366.488219726987,105.91100890768892,,1159.1393922362054,1159.0173426450813,1159.1393922362054,1159.1393922362054,1159.1393922362054,902.2110089076889,120.26231266663423,9.45119163966618,60067.50244292223,112.02366483146844,275.60620823044275,902.2110089076889
