,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,262.1,3822.367491157796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,357.65,357.65,357.65,357.65,357.65,1000.0,225.5417,151.7,4655.0,292.65,388.05,1000.0
Confidence Interval Low,256.52110461335315,3746.022110426287,,,,,,,,,,,345.4312570712875,345.4312570712875,345.4312570712875,345.4312570712875,345.4312570712875,,220.3185860074519,148.09998581723582,4330.294487013827,282.9269188214941,369.4211112183556,
Confidence Interval High,267.6788953866469,3898.712871889305,,,,,,,,,,,369.86874292871244,369.86874292871244,369.86874292871244,369.86874292871244,369.86874292871244,,230.76481399254808,155.30001418276416,4979.705512986173,302.37308117850586,406.67888878164445,
