,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,171.75,5826.162652174533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6,104.00748744099096,60.0,4113.5,134.1,178.55,511.6,1.0,361.2,361.2,361.2,361.2,361.2,488.4,163.49089285881468,109.5,2772.95,206.05,246.15,488.4
Confidence Interval Low,169.65216201829273,5755.3965438293135,,,,,,,,,,504.7360499628742,102.15189490168089,58.18421076170368,3576.53892925009,129.7362370349381,168.39974190594114,504.7360499628742,,346.4855480884645,346.4855480884645,346.4855480884645,346.4855480884645,346.4855480884645,481.53604996287413,160.25205628815814,106.73535619215562,1999.918211745105,200.50722877296852,236.7267723231831,481.53604996287413
Confidence Interval High,173.84783798170727,5896.928760519752,,,,,,,,,,518.4639500371259,105.86307998030102,61.81578923829632,4650.4610707499105,138.46376296506187,188.70025809405888,518.4639500371259,,375.9144519115355,375.9144519115355,375.9144519115355,375.9144519115355,375.9144519115355,495.2639500371258,166.7297294294712,112.26464380784438,3545.9817882548946,211.5927712270315,255.5732276768169,495.2639500371258
