,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,286.6,3502.6825440865387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,363.1,363.1,363.1,363.1,363.1,1000.0,249.84575,168.6,4872.2,321.25,405.05,1000.0
Confidence Interval Low,277.54852266878316,3403.857293261978,,,,,,,,,,,355.51707192448384,355.51707192448384,355.51707192448384,355.51707192448384,355.51707192448384,,240.78693053870975,160.13560348345985,4302.716986780876,307.4883197210323,387.8115510999893,
Confidence Interval High,295.6514773312169,3601.507794911099,,,,,,,,,,,370.6829280755162,370.6829280755162,370.6829280755162,370.6829280755162,370.6829280755162,,258.90456946129024,177.06439651654014,5441.6830132191235,335.0116802789677,422.28844890001074,
