,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,181.85,5515.945792679104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,747.4,747.35,747.4,747.4,747.4,1000.0,116.55984999999998,14.55,63195.8,104.4,208.5,1000.0
Confidence Interval Low,176.95488770275688,5370.943210868603,,,,,,,,,,,596.6816605486273,596.7330520826181,596.6816605486273,596.6816605486273,596.6816605486273,,113.2932213448199,12.51011377932939,62053.4902623403,96.80264284878827,177.9497345027699,
Confidence Interval High,186.7451122972431,5660.948374489604,,,,,,,,,,,898.1183394513727,897.966947917382,898.1183394513727,898.1183394513727,898.1183394513727,,119.82647865518007,16.58988622067061,64338.1097376597,111.99735715121174,239.0502654972301,
