,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
Mean,252.6,3966.7794083717117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,190.7007,83.55,67339.8,175.15,236.25,1000.0,1.0,748.5,748.5,748.5,748.5,748.5
Confidence Interval Low,247.10333383488762,3882.371075245977,,,,,,,,,,,185.6550882350301,81.75673032623888,64492.50399366473,168.1334386517201,219.2618777864305,,,717.3947804588025,717.3947804588025,717.3947804588025,717.3947804588025,717.3947804588025
Confidence Interval High,258.09666616511237,4051.1877414974465,,,,,,,,,,,195.74631176496993,85.34326967376111,70187.09600633527,182.1665613482799,253.2381222135695,,,779.6052195411975,779.6052195411975,779.6052195411975,779.6052195411975,779.6052195411975
