,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
Mean,128.9,7780.589872239996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,93.21435,56.1,5852.4,122.05,162.3,1000.0,1.0,342.3,342.3,342.3,342.3,342.3
Confidence Interval Low,125.53570604578834,7580.271333453155,,,,,,,,,,,90.54579308071534,54.22240827828291,5334.137213724979,116.00006280248599,154.53351353906154,,,328.13441853844864,328.13441853844864,328.13441853844864,328.13441853844864,328.13441853844864
Confidence Interval High,132.26429395421167,7980.908411026837,,,,,,,,,,,95.88290691928465,57.97759172171709,6370.66278627502,128.099937197514,170.06648646093848,,,356.4655814615514,356.4655814615514,356.4655814615514,356.4655814615514,356.4655814615514
