,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,285.5,3514.122087887497,1.0,2.9,1.0133314674835803,0.0,0.0,0.0,1.0,2.9,1.0133314674835803,1.0,385.7,385.7,385.7,385.7,385.7,1000.0,243.42160000000004,157.5,5237.4,323.3,418.6,1000.0
Confidence Interval Low,272.9852289818896,3364.663318742145,,2.1886284002984926,0.7695357149719638,,,,,2.1886284002984926,0.7695357149719638,,356.34411008292216,356.34411008292216,356.34411008292216,356.34411008292216,356.34411008292216,,233.30777711542152,152.40526135147326,4688.932004198948,297.1005043210389,391.245041253333,
Confidence Interval High,298.0147710181104,3663.580857032849,,3.6113715997015072,1.2571272199951968,,,,,3.6113715997015072,1.2571272199951968,,415.0558899170778,415.0558899170778,415.0558899170778,415.0558899170778,415.0558899170778,,253.53542288457857,162.59473864852674,5785.867995801052,349.4994956789611,445.95495874666705,
