,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,143.1,6996.197103427343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.0,94.56811942297524,51.7,5882.6,118.4,179.7,902.0,1.0,357.7,357.7,357.7,357.7,357.7,98.0,184.1707483839768,118.9,1678.2,217.2,576.2,98.0
Confidence Interval Low,139.42984801048001,6817.0943238333075,,,,,,,,,,894.7516775529009,91.78076292049604,48.70175267850723,4714.689192770797,115.71913431133801,168.02289557633688,894.7516775529009,,339.0639190301684,339.0639190301684,339.0639190301684,339.0639190301684,339.0639190301684,90.75167755290087,172.98301325765166,114.62844130870376,1071.9492146209104,201.75830318428402,253.4710749929195,90.75167755290087
Confidence Interval High,146.77015198951997,7175.299883021378,,,,,,,,,,909.2483224470991,97.35547592545444,54.69824732149277,7050.510807229204,121.080865688662,191.3771044236631,909.2483224470991,,376.3360809698316,376.3360809698316,376.3360809698316,376.3360809698316,376.3360809698316,105.24832244709913,195.3584835103019,123.17155869129626,2284.4507853790897,232.64169681571596,898.9289250070806,105.24832244709913
