,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
Mean,265.6,3772.5042464396,1.0,2.2,0.827147143168447,0.0,0.0,0.0,1.0,2.2,0.827147143168447,1000.0,200.69549999999998,83.65,73272.6,178.65,234.7,1000.0,1.0,1826.85,1826.45,1826.95,1826.95,1826.95
Confidence Interval Low,259.87324912437833,3692.76770502102,,2.0079309402196763,0.7618783074420625,,,,,2.0079309402196763,0.7618783074420625,,196.57940226978872,80.87380883469139,71484.88474799144,171.94428107146712,224.9428019675064,,,1039.1227472683267,1039.0324352346622,1039.1296281454488,1039.1296281454488,1039.1296281454488
Confidence Interval High,271.3267508756217,3852.2407878581803,,2.392069059780324,0.8924159788948314,,,,,2.392069059780324,0.8924159788948314,,204.81159773021125,86.42619116530862,75060.31525200857,185.3557189285329,244.45719803249358,,,2614.577252731673,2613.867564765338,2614.7703718545513,2614.7703718545513,2614.7703718545513
