,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,190.7,5250.995180895914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,138.37761050590677,72.95,3347.4,148.25,177.05,101.0,1.0,325.8,325.8,325.8,325.8,325.8,899.0,152.83082590801155,101.15,4015.5,194.05,225.95,899.0
Confidence Interval Low,187.32817582302,5157.591234061567,,,,,,,,,,97.59788274471813,134.8605304090692,71.06888112937429,3069.8479802684824,143.23483860750736,166.81829374231123,97.59788274471813,,314.680503537504,314.680503537504,314.680503537504,314.680503537504,314.680503537504,895.5978827447182,149.59005824549578,98.41564969086677,3084.798018432165,188.79989887894874,218.26952627246138,895.5978827447182
Confidence Interval High,194.07182417698,5344.399127730261,,,,,,,,,,104.40211725528187,141.89469060274433,74.83111887062572,3624.952019731518,153.26516139249264,187.2817062576888,104.40211725528187,,336.919496462496,336.919496462496,336.919496462496,336.919496462496,336.919496462496,902.4021172552818,156.0715935705273,103.88435030913324,4946.201981567835,199.30010112105128,233.6304737275386,902.4021172552818
