,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,493.0,2033.009959858501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.35,750.5542680254329,97.8,57384.0,1923.3,3582.5,502.35,1.0,973.65,973.65,973.65,973.65,973.65,497.65,96.92016329047289,18.05,18073.2,110.15,267.75,497.65
Confidence Interval Low,481.7779224131238,1986.2340312927874,,,,,,,,,,497.20234539729915,719.8234377948588,95.88171176786216,43087.79566783958,1831.8967555254155,3286.8214141031785,497.20234539729915,,855.8794691297952,855.8794691297952,855.8794691297952,855.8794691297952,855.8794691297952,492.5023453972991,68.30941499772,17.03735925587328,3828.3026533176144,104.9577481325278,227.88471585456304,492.5023453972991
Confidence Interval High,504.2220775868762,2079.7858884242146,,,,,,,,,,507.4976546027009,781.2850982560069,99.71828823213784,71680.20433216041,2014.7032444745844,3878.1785858968215,507.4976546027009,,1091.4205308702049,1091.4205308702049,1091.4205308702049,1091.4205308702049,1091.4205308702049,502.79765460270085,125.53091158322577,19.06264074412672,32318.097346682385,115.34225186747221,307.61528414543693,502.79765460270085
