,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,170.2,5882.366919337954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.45,132.2282798345746,70.5,3109.1,145.2,178.1,102.45,1.0,306.7,306.7,306.7,306.7,306.7,897.55,131.2406336423568,86.75,3803.9,166.2,197.85,897.55
Confidence Interval Low,167.39766700088344,5785.310639676041,,,,,,,,,,99.18456119337768,129.21320570478113,68.57032716801996,2998.0230921060142,138.32061553454247,170.96188188404798,99.18456119337768,,289.4070501763671,289.4070501763671,289.4070501763671,289.4070501763671,289.4070501763671,894.2845611933776,128.79541565606482,83.96303310256641,3533.0631342962565,161.28766717011675,190.6806589268599,894.2845611933776
Confidence Interval High,173.00233299911653,5979.423198999866,,,,,,,,,,105.71543880662233,135.24335396436808,72.42967283198004,3220.1769078939856,152.0793844654575,185.238118115952,105.71543880662233,,323.9929498236329,323.9929498236329,323.9929498236329,323.9929498236329,323.9929498236329,900.8154388066223,133.6858516286488,89.53696689743359,4074.7368657037437,171.11233282988323,205.01934107314008,900.8154388066223
