,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
Mean,493.4,2033.2556955330954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.65,3201.762466437015,173.35,28501.8,9513.0,14281.8,99.65,1.0,1019.35,1019.3,1019.35,1019.35,1019.35,900.35,118.47021737008315,6.75,57534.9,114.55,321.95,900.35
Confidence Interval Low,480.12220602354114,1977.3624685832037,,,,,,,,,,94.30027542551124,2982.0579017783502,159.89293126667783,17816.40549118429,8656.981254140648,12982.246902748895,94.30027542551124,,806.2958059616683,806.3197961752909,806.2958059616683,806.2958059616683,806.2958059616683,895.0002754255113,103.04348279201525,5.906275029998587,43903.746130510364,106.95860101054782,273.9194181126922,895.0002754255113
Confidence Interval High,506.6777939764588,2089.148922482987,,,,,,,,,,104.99972457448877,3421.46703109568,186.80706873332215,39187.19450881571,10369.018745859352,15581.353097251103,104.99972457448877,,1232.4041940383318,1232.2802038247091,1232.4041940383318,1232.4041940383318,1232.4041940383318,905.6997245744888,133.89695194815104,7.593724970001413,71166.05386948964,122.14139898945217,369.9805818873078,905.6997245744888
