,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,284.15,3524.2657639414756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,359.9,359.9,359.9,359.9,359.9,1000.0,246.8073,169.4,4985.0,319.0,417.25,1000.0
Confidence Interval Low,278.9157326754834,3461.5952676415445,,,,,,,,,,,353.6339768966309,353.6339768966309,353.6339768966309,353.6339768966309,353.6339768966309,,241.78178212577814,164.3128886002943,4707.169266828533,310.6113961826033,399.338932614987,
Confidence Interval High,289.38426732451654,3586.9362602414067,,,,,,,,,,,366.16602310336907,366.16602310336907,366.16602310336907,366.16602310336907,366.16602310336907,,251.83281787422186,174.48711139970573,5262.830733171467,327.3886038173967,435.161067385013,
