,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,192.2,5276.169297286221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,726.7,726.7,726.7,726.7,726.7,1000.0,129.128,11.55,70200.6,103.85,214.65,1000.0
Confidence Interval Low,179.72881529187507,5011.151407586049,,,,,,,,,,,690.6339193673942,690.6339193673942,690.6339193673942,690.6339193673942,690.6339193673942,,117.51642227153886,10.293497261229017,68336.05450526808,95.33552880807098,186.40120388613067,
Confidence Interval High,204.6711847081249,5541.1871869863935,,,,,,,,,,,762.7660806326058,762.7660806326058,762.7660806326058,762.7660806326058,762.7660806326058,,140.73957772846111,12.806502738770984,72065.14549473193,112.36447119192901,242.89879611386934,
