,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,260.55,3844.284539723183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.7,365.7,365.7,365.7,365.7,1000.0,224.25195,150.0,4464.1,295.9,399.7,1000.0
Confidence Interval Low,255.45592487606442,3770.497092142712,,,,,,,,,,,347.39345316229463,347.39345316229463,347.39345316229463,347.39345316229463,347.39345316229463,,219.76334290009206,144.58872905810128,4278.912286715441,284.06698312113167,378.79009369868544,
Confidence Interval High,265.64407512393564,3918.071987303654,,,,,,,,,,,384.00654683770534,384.00654683770534,384.00654683770534,384.00654683770534,384.00654683770534,,228.74055709990793,155.41127094189872,4649.28771328456,307.7330168788683,420.60990630131454,
