,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,199.8,5021.946737533792,1.0,2.8,1.3822277567405166,0.0,0.0,0.0,1.0,2.8,1.3822277567405166,1.0,1994.9,1994.4,1995.0,1995.0,1995.0,1000.0,131.23690000000002,20.4,68360.6,113.1,283.8,1000.0
Confidence Interval Low,191.0140761648789,4802.549331526937,,1.6917738466604888,0.8990211684204519,,,,,1.6917738466604888,0.8990211684204519,,840.3158522526476,840.2918831506665,840.2949307630499,840.2949307630499,840.2949307630499,,124.35803881686985,17.514825681682932,64337.97161554428,105.23866481445401,236.92631796385544,
Confidence Interval High,208.58592383512112,5241.344143540647,,3.908226153339511,1.8654343450605813,,,,,3.908226153339511,1.8654343450605813,,3149.484147747353,3148.5081168493334,3149.7050692369503,3149.7050692369503,3149.7050692369503,,138.1157611831302,23.285174318317065,72383.22838445572,120.96133518554598,330.67368203614456,
