,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
Mean,223.7,4566.223330872591,1.0,2.9,1.3090028971385697,0.0,0.0,0.0,1.0,2.9,1.3090028971385697,1.0,1569.6,1569.2,1569.6,1569.6,1569.6,1000.0,141.65480000000002,21.8,82053.4,111.9,272.3,1000.0
Confidence Interval Low,195.7592300506044,4123.295669849678,,2.273637044343488,1.0255068339405342,,,,,2.273637044343488,1.0255068339405342,,1002.3160899824936,1002.2359575201455,1002.3160899824936,1002.3160899824936,1002.3160899824936,,131.04875376183935,18.750046844194625,75817.49792873613,101.49817596948036,231.77847070709163,
Confidence Interval High,251.64076994939558,5009.1509918955035,,3.526362955656512,1.592498960336605,,,,,3.526362955656512,1.592498960336605,,2136.8839100175064,2136.1640424798547,2136.8839100175064,2136.8839100175064,2136.8839100175064,,152.2608462381607,24.849953155805377,88289.30207126385,122.30182403051965,312.8215292929084,
