Sample Size,Avg Time Proba,Avg Height Proba,Avg Time Greedy,Avg Height Greedy,Avg Time Progdyn,Avg Height Progdyn
250,0.004560351371765137,38.9,0.0001018524169921875,42.1,0.0023992776870727537,43.9
500,0.009397625923156738,54.4,0.00016107559204101563,58.6,0.007078766822814941,59.8
750,0.018569636344909667,83.9,0.000258946418762207,85.7,0.019647550582885743,92.4
1000,0.030108165740966798,104.8,0.00037009716033935546,105.3,0.036617612838745116,111.8
2500,0.1349479913711548,172.2,0.0009237289428710938,173.6,0.2047065019607544,186.7
5000,0.48916633129119874,294.9,0.002201676368713379,294.2,0.8796133518218994,311.7
7500,0.9824604272842408,370.6,0.003616070747375488,368.7,1.8201456785202026,389.1
10000,1.864341711997986,454.3,0.005463719367980957,445.5,3.19347243309021,470.6
25000,11.032745385169983,858.1,0.024072027206420897,831.4,20.958458995819093,881.9
